Organization Name,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
Eurazeo,"Paris, Ile-de-France, France",Active,For Profit,209,88,6,49,1,1,"Financial Services, Lending and Investments","Asset Management, Finance, Financial Services, FinTech, Venture Capital",1,IPO,6/6/2017,790500000,EUR,890972269,Post-IPO Equity,Post-IPO Equity,790500000,EUR,890972269,790500000,EUR,890972270,,36.392,"22,970.33",228,,,,JCDecaux
Garage Capital,"Waterloo, Ontario, Canada",Active,For Profit,57,1,5,1,1,2,"Financial Services, Lending and Investments","Crowdfunding, Financial Services, Venture Capital",2,Seed,11/5/2018,50000000,USD,50000000,Grant,Seed,,,,50000000,USD,50000000,,3.078,,0,,,,"BDC Venture Capital, Venture Capital Catalyst Initiative (VCCI)"
ada,"Kuala Lumpur, Kuala Lumpur, Malaysia",Active,For Profit,,,,,2,2,"Advertising, Sales and Marketing","Advertising, Marketing",2,,5/11/2021,60000000,USD,60000000,Corporate Round,Corporate Round,60000000,USD,60000000,80000000,USD,80000000,,20.873,"12,675.83",208,,,,"SoftBank, Sumitomo Corporation"
Demandbase,"San Francisco, California, United States",Active,For Profit,,,,,8,12,"Advertising, Data and Analytics, Sales and Marketing, Software","Advertising, Analytics, Marketing, SaaS",7,Late Stage Venture,5/25/2017,65000000,USD,65000000,Series H,Series H,65000000,USD,65000000,143000000,USD,143000000,18,284.726,"193,705.17",365,8985636,USD,8985636,"Adobe, Scale Venture Partners, Altos Ventures, Salesforce Ventures, Jackson Square Ventures"
BillionToOne,"Menlo Park, California, United States",Active,For Profit,,,,,3,24,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Genetics, Health Diagnostics, Medical",9,Late Stage Venture,3/30/2022,125000000,USD,125000000,Series C,Series C,125000000,USD,125000000,212400000,USD,212400000,1,9.031,"5,323.67",325,,,,"500 Startups, Norwest Venture Partners, Y Combinator, Baillie Gifford, Fifty Years"
Drip Capital,"Palo Alto, California, United States",Active,For Profit,,,,,7,23,"Financial Services, Other","Blockchain, Finance, Financial Services, FinTech",12,Late Stage Venture,4/7/2022,,,,Secondary Market,Series C,40000000,USD,40000000,375120000,USD,375120000,1,358.693,"259,920.83",227,223632,USD,223632,"Y Combinator, Liquid 2 Ventures, Initialized Capital, Accel, Sequoia Capital India"
BitPay,"Atlanta, Georgia, United States",Active,For Profit,,,,,5,32,"Commerce and Shopping, Financial Services, Other, Payments, Software","Bitcoin, E-Commerce, Finance, FinTech, Payments, Peer to Peer, Software",10,Early Stage Venture,7/22/2021,1800000,USD,1800000,Series B,Series B,1800000,USD,1800000,74310000,USD,74310000,5,"1,865,014","1,047,742.17",614,206210,USD,206210,"Digital Currency Group, RRE Ventures, Founders Fund, SeedInvest, Menlo Ventures"
ExecOnline,"New York, New York, United States",Active,For Profit,,,,,4,13,"Education, Software","Corporate Training, E-Learning, EdTech, Education, Software, Training",8,Late Stage Venture,4/21/2021,45000000,USD,45000000,Series D,Series D,45000000,USD,45000000,87718302,USD,87718302,,21.626,"13,208.67",405,1741857,USD,1741857,"NewSpring, Forum Ventures, ABS Capital Partners, Washington Post, Militello Capital"
dyte,"Bengaluru, Karnataka, India",Active,For Profit,,,,,4,6,"Information Technology, Software","Developer APIs, Information Technology, Productivity Tools, Software",3,Seed,4/7/2022,11600000,USD,11600000,Seed,Seed,11600000,USD,11600000,15320826,USD,15320826,,7.942,"5,850.17",315,,,,"Y Combinator, Nexus Venture Partners, Surge, Unbound, Ryan Hoover"
Community Gaming,"New York, New York, United States",Active,For Profit,1,,,,4,26,"Community and Lifestyle, Gaming, Other, Sports","Blockchain, Communities, eSports, Gaming",4,Early Stage Venture,4/7/2022,16000000,USD,16000000,Series A,Series A,16000000,USD,16000000,18475000,USD,18475000,,509.046,"158,851.33",1.289,,,,"Animoca Brands, ConsenSys, Dapper Labs, BITKRAFT Ventures, Hashed"
Dialogue,"Montr̩al, Quebec, Canada",Active,For Profit,,,,,6,14,Health Care,"Health Care, Wellness",5,IPO,7/29/2020,43000000,CAD,32226225,Series B,Series B,43000000,CAD,32226225,88726225,USD,88726225,,168.548,"89,923.83",772,,,,"White Star Capital, SCALE AI, Caisse de Depot et Placement du Quebec, BDC Venture Capital, HV Capital"
Blavity,"Los Angeles, California, United States",Active,For Profit,,,,,2,9,"Community and Lifestyle, Internet Services, Media and Entertainment","Communities, Digital Media, Social Media",6,Early Stage Venture,7/20/2018,6500000,USD,6500000,Series A,Series A,6500000,USD,6500000,9359798,USD,9359798,3,11.46,"10,073.33",646,,,,"500 Startups, GV, MaC Venture Capital, Harlem Capital Partners, Base Ventures"
Digit Insurance,"Bengaluru, Karnataka, India",Active,For Profit,,,,,4,14,Financial Services,"Finance, Financial Services, Insurance, InsurTech",8,,1/18/2022,70000000,USD,70000000,Venture - Series Unknown,Venture - Series Unknown,70000000,USD,70000000,530750058,USD,530750058,,"2,274,937","2,051,577.33",756,,,,"Fairfax Financial Holdings, Sequoia Capital India, Kunal Shah, Wellington Management, Faering Capital"
Bounce,"Bangalore, Karnataka, India",Active,For Profit,,,,,7,17,"Commerce and Shopping, Transportation","Last Mile Transportation, Recreational Vehicles, Rental, Ride Sharing",9,Late Stage Venture,3/3/2020,6500000,USD,6500000,Debt Financing,Series D,105000000,USD,105000000,214176422,USD,214176422,,30.642,111.408,168,,,,"Navi Technologies, B Capital Group, Accel, Qualcomm Ventures, Sequoia Capital India"
Arcadia,"Washington, District of Columbia, United States",Active,For Profit,,,,,6,26,"Data and Analytics, Energy, Natural Resources, Software, Sustainability","Clean Energy, CleanTech, Database, Energy, Renewable Energy, Solar",10,Late Stage Venture,1/1/2022,,,,Series E,Series E,,,,170500000,USD,170500000,1,568.898,"413,877.83",238,,,,"Alumni Ventures, Tiger Global Management, BoxGroup, Bracket Capital, City Light Capital"
Critical Start,"Plano, Texas, United States",Active,For Profit,,,,,2,2,"Information Technology, Privacy and Security","Cyber Security, Information Services, Information Technology, Network Security",2,Private Equity,4/12/2022,215000000,USD,215000000,Private Equity,Private Equity,215000000,USD,215000000,255000000,USD,255000000,1,23.166,"12,293.83",536,2807346,USD,2807346,"Vista Equity Partners, Bregal Sagemount"
ElasticRun,"Pune, Maharashtra, India",Active,For Profit,,,,,5,8,"Commerce and Shopping, Internet Services, Transportation","E-Commerce, E-Commerce Platforms, Logistics",6,Late Stage Venture,2/7/2022,22600000000,INR,302711498,Series E,Series E,22600000000,INR,302711498,434808664,USD,434808664,,18.497,"15,200.67",207,,,,"Goldman Sachs, Norwest Venture Partners, Kalaari Capital, SoftBank Vision Fund, Prosus Ventures"
Extend,"San Francisco, California, United States",Active,For Profit,,,,,3,19,"Commerce and Shopping, Financial Services","E-Commerce, InsurTech, Retail",4,Late Stage Venture,5/18/2021,260000000,USD,260000000,Series C,Series C,260000000,USD,260000000,320400000,USD,320400000,,74.684,"37,304.33",136,,,,"SoftBank Vision Fund, Graph Ventures, Lightbank, PayPal Ventures, American Express Ventures"
Deepki,"Paris, Ile-de-France, France",Active,For Profit,,,,,4,12,"Data and Analytics, Energy, Information Technology, Real Estate, Sustainability","Analytics, Energy Efficiency, Information Technology, Real Estate",5,Late Stage Venture,3/30/2022,150000000,EUR,167421925,Series C,Series C,150000000,EUR,167421925,178825047,USD,178825047,3,20.158,"43,233.67",746,,,,"Bpifrance, Hi Inov - Dentressangle, Highland Europe, One Peak Partners, Axeleo Capital"
Credit Kudos,"London, England, United Kingdom",Active,For Profit,,,,,2,22,Financial Services,"Credit Bureau, Financial Services, FinTech",3,M&A,4/15/2020,5000000,GBP,6259373,Series A,Series A,5000000,GBP,6259373,7800000,GBP,9918797,1,146.815,"58,131.17",686,,,,"Entrepreneur First, Ascension, Plug and Play Tech Center, AlbionVC, TriplePoint Capital"
Everli,"Milan, Lombardia, Italy",Active,For Profit,,,,,5,24,"Administrative Services, Commerce and Shopping, Food and Beverage, Transportation","Delivery, Delivery Service, E-Commerce, Grocery, Same Day Delivery",9,Late Stage Venture,3/31/2022,22000000,EUR,24362801,Series C,Series C,22000000,EUR,24362801,135555000,EUR,156745128,2,889.824,"468,490.33",234,,,,"360 Capital, Bossa Nova Investimentos, DN Capital, Endeavor Catalyst, United Ventures"
Aavishkaar Venture Capital,"Mumbai, Maharashtra, India",Active,,77,48,2,4,2,3,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",2,,9/26/2019,37000000,USD,37000000,Venture - Series Unknown,Venture - Series Unknown,37000000,USD,37000000,62000000,USD,62000000,,1.357,"1,975.17",19,,,,"FMO, Triodos Investment Management, Shell Foundation"
Aclima,"San Francisco, California, United States",Active,For Profit,,,,,2,16,"Government and Military, Information Technology, Internet Services, Science and Engineering, Software, Sustainability","Enterprise Software, Environmental Engineering, GovTech, Information Technology, Internet of Things, Pollution Control, Software",2,Early Stage Venture,11/19/2020,40000000,USD,40000000,Series B,Series B,40000000,USD,40000000,64000000,USD,64000000,1,9.443,"6,019.83",26,189786,USD,189786,"Splunk, Emerson Collective, Kapor Capital, Rethink Impact, Microsoft Climate Innovation Fund"
Ankr,"San Francisco, California, United States",Active,For Profit,5,,,,3,11,"Information Technology, Internet Services, Other, Privacy and Security, Software","Blockchain, Cloud Computing, Cloud Security, PaaS, Sharing Economy",4,,6/21/2018,15000000,USD,15000000,Venture - Series Unknown,Venture - Series Unknown,15000000,USD,15000000,27320000,USD,27320000,,117.112,110.611,375,,,,"Pantera Capital, DHVC, NEO Global Capital (NGC), Mapleblock Capital, Ryan Fang"
Carousell,"Singapore, Central Region, Singapore",Active,For Profit,,,,,8,17,"Apps, Commerce and Shopping, Consumer Goods, Mobile, Software","Classifieds, Consumer Goods, E-Commerce, Marketplace, Mobile Apps",13,Private Equity,11/11/2021,10000000,USD,10000000,Private Equity,Private Equity,10000000,USD,10000000,372605199,USD,372605199,2,"10,663,296","5,848,296.33",722,,,,"Rakuten, 500 Startups, Naver, Quest Ventures, Sequoia Capital India"
Fivetran,"Oakland, California, United States",Active,For Profit,,,,,4,9,"Data and Analytics, Information Technology, Internet Services, Software","Analytics, Cloud Data Services, Data Integration",6,Late Stage Venture,9/20/2021,565000000,USD,565000000,Series D,Series D,565000000,USD,565000000,728108000,USD,728108000,13,"1,156,715","494,350.67",514,278771,USD,278771,"Andreessen Horowitz, General Catalyst, Y Combinator, Matrix Partners, D1 Capital Partners"
Dataiku,"New York, New York, United States",Active,For Profit,,,,,9,17,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software","Analytics, Artificial Intelligence, Data Integration, Enterprise Software, Machine Learning",10,Late Stage Venture,8/5/2021,400000000,USD,400000000,Series E,Series E,400000000,USD,400000000,646835229,USD,646835229,55,621.088,"476,370.33",447,2901890,USD,2901890,"Eurazeo, Insight Partners, Tiger Global Management, FirstMark, Stripes"
Cyera,"San Mateo, California, United States",Active,For Profit,,,,,2,3,"Information Technology, Privacy and Security, Software","Cloud Security, Cyber Security, Enterprise Software, Security",2,Early Stage Venture,3/29/2022,60000000,USD,60000000,Series A,Series A,60000000,USD,60000000,64500000,USD,64500000,,7.207,,55,,,,"Sequoia Capital, Accel, Cyberstarts"
Attivo Networks,"Fremont, California, United States",Active,For Profit,,,,,4,8,"Consumer Electronics, Hardware, Information Technology, Privacy and Security, Software","Computer, Cyber Security, Network Security, Software",6,M&A,6/27/2019,10720779,USD,10720779,Series C,Series C,10720779,USD,10720779,60108747,USD,60108747,27,27.4,"9,490.17",34,51608,USD,51608,"Bain Capital, Energy Impact Partners, Bain Capital Ventures, Singtel Innov8, Forgepoint Capital"
EdCast,"Mountain View, California, United States",Active,For Profit,,,,,5,21,"Information Technology, Internet Services, Mobile, Software","Cloud Data Services, Mobile, SaaS",8,M&A,12/13/2019,35000000,USD,35000000,Series D,Series D,35000000,USD,35000000,107309936,USD,107309936,3,276.715,"231,433.17",514,586730,USD,586730,"Menlo Ventures, StartX (Stanford-StartX Fund), Cervin, Kapor Capital, Stanford University"
Black Crow AI,"New York, New York, United States",Active,For Profit,,,,,1,10,"Artificial Intelligence, Data and Analytics, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence, Machine Learning, Marketing, Predictive Analytics",1,Early Stage Venture,3/31/2022,25000000,USD,25000000,Series A,Series A,25000000,USD,25000000,25000000,USD,25000000,,"27,563,589","4,597,846.17",570,,,,"Imaginary Ventures, Primary Venture Partners, Interplay, Good Friends, Left Lane Capital"
Enjin,"Singapore, Central Region, Singapore",Active,For Profit,8,1,,,4,12,"Financial Services, Gaming, Information Technology, Media and Entertainment, Other, Payments, Privacy and Security, Software","Blockchain, Content, Cryptocurrency, Identity Management, Video Games",4,,7/1/2021,20000000,USD,20000000,Initial Coin Offering,Initial Coin Offering,20000000,USD,20000000,61900000,USD,61900000,2,557.288,"404,883.17",254,,,,"BlockTower Capital, Hashed, Arrington XRP Capital, ICONIUM, Hypersphere Ventures"
Blackberry,"Waterloo, Ontario, Canada",Active,For Profit,12,4,,4,,1,"Hardware, Mobile, Science and Engineering, Software","Embedded Systems, Hardware, Mobile, Telecommunications",1,IPO,11/4/2013,1000000000,USD,1000000000,Post-IPO Equity,Post-IPO Equity,1000000000,USD,1000000000,1000000000,USD,1000000000,44,"1,278,774","1,386,650.67",272,80244230,USD,80244230,Fairfax Financial Holdings
Aura,"Boston, Massachusetts, United States",Active,For Profit,,,,,4,6,"Information Technology, Privacy and Security","Cyber Security, Information Technology, Network Security, Security",3,Late Stage Venture,10/19/2021,200000000,USD,200000000,Series F,Series F,200000000,USD,200000000,500000000,USD,500000000,,609.767,"235,135.67",560,,,,"Warburg Pincus, General Catalyst, Accel, WndrCo, Madrone Capital Partners"
8VC,"San Francisco, California, United States",Active,,351,105,74,25,,1,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1,,5/1/2018,,,,Venture - Series Unknown,Venture - Series Unknown,,,,,,,1,12.447,16.767,48,,,,9Yards Capital
DoorDash,"San Francisco, California, United States",Active,For Profit,4,1,,,12,30,"Administrative Services, Apps, Food and Beverage, Mobile, Software, Transportation","Delivery, Food Delivery, Logistics, Mobile Apps",12,IPO,6/18/2020,400000000,USD,400000000,Series H,Series H,400000000,USD,400000000,2471820000,USD,2471820000,2,"156,490,245","81,313,031.67",739,,,,"Sequoia Capital, FundersClub, Y Combinator, Fidelity, SoftBank Vision Fund"
Figure,"San Francisco, California, United States",Active,For Profit,,,,,10,39,"Financial Services, Other","Blockchain, Finance, Financial Services, FinTech",9,Late Stage Venture,5/20/2021,200000000,USD,200000000,Series D,Series D,200000000,USD,200000000,1551588888,USD,1551588888,,428.562,"232,111.83",460,,,,"Digital Currency Group, Apollo, JP Morgan, HOF Capital, Fin Venture Capital"
Birdeye,"Palo Alto, California, United States",Active,For Profit,,,,,2,9,"Commerce and Shopping, Other, Professional Services, Sales and Marketing, Software","Consumer Reviews, Customer Service, Lead Generation, Marketing, SaaS",3,Late Stage Venture,3/10/2022,60000000,USD,60000000,Series C,Series C,60000000,USD,60000000,93000000,USD,93000000,,"5,180,767","2,930,939.33",582,1744670,USD,1744670,"Square, Accel-KKR, AME Cloud Ventures, Trinity Ventures, World Innovation Lab (WiL)"
Embark,"Boston, Massachusetts, United States",Active,For Profit,,,,,5,14,"Community and Lifestyle, Health Care","Health Care, Pet, Veterinary",5,Early Stage Venture,7/26/2021,75000000,USD,75000000,Series B,Series B,75000000,USD,75000000,94300000,USD,94300000,,"1,903,473","1,152,360.17",813,185377,USD,185377,"Slow Ventures, SoftBank Vision Fund, F-Prime Capital, Founder Collective, Section 32"
Abra,"Mountain View, California, United States",Active,For Profit,1,,,,6,34,"Financial Services, Other, Payments, Software","Bitcoin, Blockchain, Cryptocurrency, Financial Services, Peer to Peer, Transaction Processing",10,Late Stage Venture,9/15/2021,55000000,USD,55000000,Series C,Series C,55000000,USD,55000000,148577110,USD,148577110,6,"1,292,470","825,752.5",603,,,,"Digital Currency Group, 2TM, Blockchain Capital, Stellar Development Foundation, LAUNCH"
Cleo,"San Francisco, California, United States",Active,For Profit,,,,,4,13,"Administrative Services, Community and Lifestyle, Health Care","Employee Benefits, Family, Health Care",4,Late Stage Venture,3/30/2021,40000000,USD,40000000,Series C,Series C,40000000,USD,40000000,80947607,USD,80947607,1,14.509,"9,734.5",165,,,,"Gaingels, Greylock, New Enterprise Associates, Forerunner Ventures, PruVen Capital"
